TRACTFIPS,COUNTY,TotalPop_Sum,YEAR,COUNTYFIPS,STATEFIPS,STATE,AvgHHsize,MedianAge,PercentUnder1.37Poverty,PopWithMedicaid/Means-Tested,PublicTransit,UninsuredPop,IncomePerCapita,TotalHouseholds,TotalPop,DistanceER,DistanceMedSurg/ICU,DistanceTrauma,DistanceClinic,DistanceRehab
02220000100,Sitka City and Borough,8499,2020,02220,02,Alaska,2.31,39.4,11.11,11.68,0.0,14.57,46440,1427,3317,1.01,1.01,1.01,69.72,92.7
02220000200,Sitka City and Borough,8499,2020,02220,02,Alaska,2.34,38.8,12.9,9.49,1.35,14.47,37670,2145,5182,0.12,0.12,0.12,69.94,93.49
02230000100,Skagway Municipality,1279,2020,02230,02,Alaska,2.72,40.9,10.79,8.15,0.52,13.38,41842,411,1279,84.18,84.18,84.18,0.38,84.18
02240000100,Southeast Fairbanks Census Area,6817,2020,02240,02,Alaska,2.89,43.1,23.57,33.58,1.33,16.18,26078,872,2509,125.27,178.92,178.92,9.85,220.33
02240000400,Southeast Fairbanks Census Area,6817,2020,02240,02,Alaska,2.91,35.3,11.31,10.65,0.32,17.1,35235,1415,4308,83.15,83.15,83.15,4.27,238.7
02275000300,Wrangell City and Borough,2459,2020,02275,02,Alaska,2.49,47.8,15.12,21.44,0.33,15.3,32159,989,2459,3.25,3.25,121.45,0.1,30.12
02282000100,Yakutat City and Borough,591,2020,02282,02,Alaska,2.4,36.3,16.92,12.73,0.0,19.77,32861,221,591,205.1,205.1,205.1,1.35,205.1
02290000100,Yukon-Koyukuk Census Area,5192,2020,02290,02,Alaska,2.38,33.6,45.49,49.04,3.07,14.65,19155,445,1111,146.25,146.25,146.25,11.06,397.2
02290000200,Yukon-Koyukuk Census Area,5192,2020,02290,02,Alaska,2.64,35.9,20.84,21.58,0.0,25.0,33281,397,1283,66.44,66.44,66.44,41.03,264.84
02290000300,Yukon-Koyukuk Census Area,5192,2020,02290,02,Alaska,2.84,35.5,28.77,33.63,0.0,22.67,24339,621,1779,201.21,256.28,256.28,30.5,201.21
02290000400,Yukon-Koyukuk Census Area,5192,2020,02290,02,Alaska,2.57,34.7,39.03,43.02,0.0,28.2,19755,394,1019,193.96,266.5,193.96,42.86,193.96
